date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:27:42	78/78	---MCZ	200	added ('OK')	text/plain	date:Sun,%2016%20Feb%202025%2011:27:44%20GMT	https://pgc.edu/robots.txt		(from )
06:27:42	81084/81084	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202025%2011:27:44%20GMT	https://pgc.edu/	/root/pgc_backup/pgc.edu/index.html	(from )
06:27:44	16455/16455	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5644-4047%22	https://pgc.edu/wp-content/themes/pgc-new/vendor/themify/themify.css?ver=6.6.1	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/vendor/themify/themifyb6a4.css	(from https://pgc.edu/)
06:27:44	14991/14991	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a3aa850a955bddb97340c4964258c3d8%22	https://pgc.edu/feed/	/root/pgc_backup/pgc.edu/feed/index.html	(from https://pgc.edu/)
06:27:44	121264/121264	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5644-1d9b0%22	https://pgc.edu/wp-content/themes/pgc-new/vendor/bootstrap/css/bootstrap.min.css?ver=6.6.1	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/vendor/bootstrap/css/bootstrap.minb6a4.css	(from https://pgc.edu/)
06:27:44	743/743	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22a3aa850a955bddb97340c4964258c3d8%22	https://pgc.edu/comments/feed/	/root/pgc_backup/pgc.edu/comments/feed/index.html	(from https://pgc.edu/)
06:27:46	4261/4261	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5644-10a5%22	https://pgc.edu/wp-content/themes/pgc-new/vendor/accordionjs/jquery.accordionjs.css?ver=6.6.1	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/vendor/accordionjs/jquery.accordionjsb6a4.css	(from https://pgc.edu/)
06:27:49	3209/3209	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5643-c89%22	https://pgc.edu/wp-content/themes/pgc-new/css/responsive.css?ver=6.6.1	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/css/responsiveb6a4.css	(from https://pgc.edu/)
06:27:59	109120/109120	---MCZ	200	added ('OK')	text/css	etag:W/%22678793b0-1aa40%22	https://pgc.edu/wp-content/themes/pgc-new/css/style.css?ver=42471	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/css/styleccb1.css	(from https://pgc.edu/)
06:27:59	57275/57275	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5643-dfbb%22	https://pgc.edu/wp-content/themes/pgc-new/css/main.css?ver=63478	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/css/main8dc6.css	(from https://pgc.edu/)
06:27:59	44/44	---M--	200	added ('OK')	text/css	etag:%22678e2a88-2c%22	http://pgc.edu/wp-content/uploads/js_composer/custom.css?ver=7.8	/root/pgc_backup/pgc.edu/wp-content/uploads/js_composer/custom3912.css	(from https://pgc.edu/)
06:28:00	127886/127886	---MCZ	200	added ('OK')	text/css	etag:W/%22671f5643-1f38e%22	https://pgc.edu/wp-content/themes/pgc-new/css/global/global.css?ver=6.6.1	/root/pgc_backup/pgc.edu/wp-content/themes/pgc-new/css/global/globalb6a4.css	(from https://pgc.edu/)
06:28:00	458836/458836	---MCZ	200	added ('OK')	text/css	etag:W/%22671f563b-70054%22	https://pgc.edu/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=7.8	/root/pgc_backup/pgc.edu/wp-content/plugins/js_composer/assets/css/js_composer.min3912.css	(from https://pgc.edu/)
06:28:02	243315/243315	---MCZ	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202025%2011:28:04%20GMT	https://pgc.edu/wp-json/	/root/pgc_backup/pgc.edu/wp-json/index.html	(from https://pgc.edu/)
06:28:02	108340/108340	---MCZ	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202025%2011:28:04%20GMT	https://pgc.edu/wp-json/wp/v2/pages/22	/root/pgc_backup/pgc.edu/wp-json/wp/v2/pages/22.json	(from https://pgc.edu/)
06:28:02	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Sun,%2016%20Feb%202025%2011:28:05%20GMT	https://pgc.edu/xmlrpc.php?rsd	/root/pgc_backup/pgc.edu/xmlrpc.a0db0.delayed	(from https://pgc.edu/)
